"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",316.775724755549
"12",317.810181616516
"13",318.068130353956
"14",317.643615806175
"15",317.608036116193
"16",317.462108863713
"17",316.951114962587
"18",315.681883534963
"19",314.303972288228
"20",313.555518345399
"21",313.504628181178
"22",314.847387311363
"23",316.397758177246
"24",317.712714538671
"25",318.383245274437
"26",318.490270008862
"27",318.623002671082
"28",318.646953506793
"29",318.089561610725
"30",317.0000004461
"31",315.542312719753
"32",314.404135726454
"33",314.270724086427
"34",315.392780531129
"35",317.072502116767
"36",318.514795240809
"37",319.417885267033
"38",319.734916067724
"39",319.625591951389
"40",319.381230491536
"41",318.460188110356
"42",317.246236374653
"43",315.968020688359
"44",314.887015492764
"45",315.14924670964
"46",316.310246850213
"47",317.867577723314
"48",319.306941014933
"49",320.171288872935
"50",320.59851507333
"51",320.577537580755
"52",320.102456164444
"53",319.204998200659
"54",318.135228772037
"55",316.820658803375
"56",316.051646480893
"57",315.934063947027
"58",317.034822900691
"59",318.592272874663
"60",320.084329852661
"61",320.877850390079
"62",321.122421722267
"63",321.207190615447
"64",320.983762693795
"65",320.101937780937
"66",318.714895572243
"67",317.269071949042
"68",316.279121930464
"69",316.298979649333
"70",317.471608404656
"71",319.160574692266
"72",320.804582867328
"73",321.719516215741
"74",321.938688013369
"75",321.763172458736
"76",321.206409737044
"77",320.302974426824
"78",319.07170767231
"79",317.863365154762
"80",316.8771505057
"81",317.007308057364
"82",318.180788864637
"83",319.741153714175
"84",321.088390223001
"85",322.017069465828
"86",322.19926386336
"87",322.100517925417
"88",321.437115893149
"89",320.494834671589
"90",319.602770800216
"91",318.267446400978
"92",317.524995948269
"93",317.532977637343
"94",318.791088793158
"95",320.239211843685
"96",321.686012531756
"97",322.685362943428
"98",323.069443365438
"99",323.212991892458
"100",322.755191054955
"101",321.951772036489
"102",320.812379329802
"103",319.548743337711
"104",318.627211617827
"105",318.571069543491
"106",319.907122305985
"107",321.74031291842
"108",323.361990449442
"109",324.223260370903
"110",324.36248147412
"111",324.27629392662
"112",323.831628499283
"113",322.801608235452
"114",321.466316591749
"115",320.257402894873
"116",319.442896309285
"117",319.653188574672
"118",321.009842461826
"119",322.765647982532
"120",324.13165912171
"121",324.854277248187
"122",324.986944232083
"123",324.829067648878
"124",324.362406879205
"125",323.61959166592
"126",322.603778966675
"127",321.39100657305
"128",320.522943212763
"129",320.606215870108
"130",321.743695397136
"131",323.495578322382
"132",325.113180701132
"133",325.968177350086
"134",326.366924941736
"135",326.313557024252
"136",325.918631509699
"137",325.041859189768
"138",324.048720965119
"139",322.822338015348
"140",322.094781543065
"141",322.134933282216
"142",323.282507415395
"143",324.980687156237
"144",326.515901090051
"145",327.561787044958
"146",327.976199137211
"147",328.012948092288
"148",327.369844618303
"149",326.369385114793
"150",325.126157727796
"151",323.950989078199
"152",323.15229571335
"153",323.389518240921
"154",324.546210168801
"155",326.164848146644
"156",327.654530211004
"157",328.47722981443
"158",328.6056887051
"159",328.249878305181
"160",327.879977112974
"161",327.142777475524
"162",326.102433061435
"163",324.927237853601
"164",323.865847803804
"165",323.935516111049
"166",325.116051808538
"167",326.765500987376
"168",328.165934147174
"169",329.068292357136
"170",329.118498852532
"171",329.2403354547
"172",328.874563517363
"173",327.873370940627
"174",326.733718407828
"175",325.584459743252
"176",324.846840663661
"177",325.111635649422
"178",326.478236510852
"179",328.15007818917
"180",329.612511376589
"181",330.589099252585
"182",330.90599165317
"183",330.900723862707
"184",330.695528108398
"185",330.039787909998
"186",329.079478943971
"187",328.113316725609
"188",327.344085862489
"189",327.434552521751
"190",328.568756645917
"191",329.966039771923
"192",331.261515552903
"193",332.373881340846
"194",332.862315125278
"195",332.956010169703
"196",332.583284305772
"197",331.489210478433
"198",330.204808985754
"199",328.833884813692
"200",327.78624735205
"201",327.814837525241
"202",328.932806780437
"203",330.607872082784
"204",332.196938002746
"205",333.165847532726
"206",333.340215820589
"207",333.221877625738
"208",332.808992409402
"209",331.935501869788
"210",330.694728617563
"211",329.355618500368
"212",328.491869590058
"213",328.612903394408
"214",329.79524164693
"215",331.482284691282
"216",333.015240539459
"217",334.10922959243
"218",334.488081141837
"219",334.430364059254
"220",333.795938062437
"221",332.679030132497
"222",331.524732968419
"223",330.16696854894
"224",329.232113790203
"225",329.331365115108
"226",330.664549310842
"227",332.538463556829
"228",334.162200341385
"229",334.985288663174
"230",335.524570497716
"231",335.549769743282
"232",335.17420612276
"233",334.181750840771
"234",332.936086296106
"235",331.535947530103
"236",330.783862719524
"237",331.124984832311
"238",332.567007693801
"239",334.450335165795
"240",336.243633557511
"241",337.152958615289
"242",337.618929014575
"243",337.562481862971
"244",336.98837059889
"245",336.177374620553
"246",334.948328742077
"247",333.662151984297
"248",332.655651262825
"249",332.816043781034
"250",334.199733030886
"251",336.022993179479
"252",337.730050087945
"253",338.673692648046
"254",339.217881564628
"255",339.06061091254
"256",338.371076381264
"257",337.505649787995
"258",336.201005120108
"259",334.95519520242
"260",334.083824997703
"261",334.386267981722
"262",335.750690237539
"263",337.659795195356
"264",339.33796700801
"265",340.203345540169
"266",340.734412212193
"267",340.681012670293
"268",340.192384673921
"269",339.393763039312
"270",338.055545876904
"271",336.829345080433
"272",336.082353451129
"273",336.380622018238
"274",337.747464031097
"275",339.498496393034
"276",341.050426190781
"277",342.17620256941
"278",342.663419174261
"279",342.574376285587
"280",342.033783906569
"281",341.063026477145
"282",339.67427501759
"283",338.180186992724
"284",337.283594795551
"285",337.577408979735
"286",339.101385197882
"287",341.032520356596
"288",342.68732925211
"289",343.617065950839
"290",343.918833647774
"291",343.771684605812
"292",343.255136296014
"293",342.185513896739
"294",340.872736675867
"295",339.505913919988
"296",338.595817792408
"297",338.851528129409
"298",340.295886325534
"299",342.193938860208
"300",343.73234680868
"301",344.770654851182
"302",344.901329414797
"303",344.920740130039
"304",344.536254771802
"305",343.668127046186
"306",342.427446048203
"307",341.149292744
"308",340.195621784693
"309",340.401352311487
"310",341.788686872042
"311",343.761271479508
"312",345.521654573596
"313",346.571423880916
"314",346.878587042497
"315",346.83082429038
"316",346.437455530504
"317",345.495756474759
"318",344.220993934744
"319",342.905594777675
"320",341.835643188034
"321",342.042304271269
"322",343.489398230442
"323",345.512342074833
"324",347.049300097717
"325",348.011293912048
"326",348.56330059847
"327",348.383017741612
"328",347.86028609859
"329",346.835291127871
"330",345.457967135246
"331",344.232094844705
"332",343.41105607728
"333",343.633827132481
"334",345.048578842054
"335",346.952129730524
"336",348.463392166806
"337",349.318294574366
"338",349.486427428317
"339",349.523463047817
"340",349.129243968802
"341",348.265498122928
"342",346.917830659453
"343",345.513666639908
"344",344.873710604347
"345",344.971948962667
"346",346.310835574347
"347",348.134477799733
"348",349.86151732947
"349",350.693879633734
"350",350.968900343975
"351",351.024252727498
"352",350.71436435995
"353",349.865952925416
"354",348.654913946507
"355",347.344795066833
"356",346.481067003922
"357",346.721142362081
"358",348.13945340617
"359",349.983262216098
"360",351.693606268382
"361",352.911135091041
"362",353.333845193191
"363",353.342179035364
"364",352.883213943687
"365",351.976567917325
"366",350.914557345924
"367",349.646292461759
"368",348.873080256236
"369",349.247719043408
"370",350.646503132025
"371",352.477227401365
"372",354.275583699095
"373",355.206052788481
"374",355.419741540077
"375",355.469781794374
"376",354.955698692857
"377",354.028960486967
"378",352.825860990093
"379",351.502890694018
"380",350.579196742558
"381",350.838414825183
"382",352.21208207378
"383",354.061436041317
"384",355.632626691939
"385",356.717684792324
"386",357.001751052509
"387",356.646085907899
"388",356.147527281797
"389",355.063540909458
"390",353.741250930763
"391",352.513708840048
"392",351.706240378803
"393",352.086392094375
"394",353.594172315787
"395",355.447628659438
"396",356.805959029988
"397",357.596246949954
"398",358.010537515693
"399",358.084990559724
"400",357.662174782157
"401",356.590398674213
"402",355.090299371468
"403",353.563855475749
"404",352.651577590772
"405",352.96415428233
"406",354.510565078464
"407",356.465312958113
"408",358.139617549061
"409",359.084605453269
"410",359.231372615084
"411",358.976202234416
"412",358.314455866533
"413",357.370370430023
"414",355.824430756272
"415",354.378464937582
"416",353.382613388533
"417",353.745092790114
"418",355.159258843637
"419",357.01758638102
"420",358.763536942311
"421",359.564181003217
"422",359.781520719277
"423",359.414869496826
"424",358.833585769645
"425",357.774931478632
"426",356.185275818713
"427",354.839350525003
"428",354.024565101885
"429",354.363406042629
"430",355.829716985
"431",357.786708954299
"432",359.539448613286
"433",360.478612318696
"434",360.760562363049
"435",360.617836315532
"436",360.013464484356
"437",358.902691237343
"438",357.610114216764
"439",356.408133364244
"440",355.656450833956
"441",356.140236569039
"442",357.758334427672
"443",359.780340076574
"444",361.411364690072
"445",362.368153879243
"446",362.640807011138
"447",362.601780102206
"448",362.074145400693
"449",361.150341971842
"450",359.927161330051
"451",358.526343969508
"452",357.93370757457
"453",358.324731068709
"454",359.890018515482
"455",361.811605134312
"456",363.571069934013
"457",364.713611195517
"458",365.080225115481
"459",364.670062869792
"460",363.955822534559
"461",363.04493185166
"462",361.925656056404
"463",360.731087082024
"464",359.915698791253
"465",360.218079649265
"466",361.659595001247
"467",363.545510182501
"468",365.084468274047
"469",366.013387504365
"470",366.106003013829
"471",366.102159307306
"472",365.55708622832
"473",364.388734145139
"474",363.078560011156
"475",361.766864344158
"476",360.812426296734
"477",361.203457545118
"478",362.831195880687
"479",365.013417825538
"480",366.705733983847
"481",367.581795400349
"482",367.886719966164
"483",367.839862546589
"484",367.445642615451
"485",366.637079027037
"486",365.628563451745
"487",364.598474021058
"488",363.846656280155
"489",364.323753373433
"490",365.82749460575
"491",367.883285130597
"492",369.646682197631
"493",370.734271888529
"494",371.001123815807
"495",370.927306995434
"496",370.2399674932
