,"V1"
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,NA
59,NA
60,NA
61,NA
62,NA
63,NA
64,NA
65,NA
66,NA
67,NA
68,NA
69,NA
70,NA
71,NA
72,NA
73,NA
74,NA
75,NA
76,NA
77,NA
78,NA
79,NA
80,NA
81,NA
82,NA
83,NA
84,NA
85,NA
86,NA
87,NA
88,NA
89,NA
90,NA
91,NA
92,NA
93,NA
94,NA
95,NA
96,NA
97,NA
98,NA
99,NA
100,NA
101,321.662788816992
102,320.447373052196
103,319.398844529456
104,318.823889111108
105,318.925857161269
106,319.768568652924
107,321.087517027286
108,322.516790645282
109,323.664088149726
110,324.260135487441
111,324.230229099098
112,323.590079906354
113,322.487549162915
114,321.231207766649
115,320.179554888213
116,319.620378500416
117,319.767630401157
118,320.627618767349
119,321.950702657971
120,323.358128085646
121,324.490206512123
122,325.080158894324
123,325.026335126561
124,324.361636402277
125,323.277293758594
126,322.060268594809
127,321.02659233386
128,320.486459364757
129,320.640322971373
130,321.483760637694
131,322.802184946253
132,324.232742675059
133,325.381860564222
134,326.008327527019
135,325.977415529534
136,325.332965802923
137,324.246426681879
138,323.042869228029
139,322.023692010835
140,321.51731259441
141,321.687708264895
142,322.548848648722
143,323.87530725471
144,325.308623326658
145,326.488949855526
146,327.130401449368
147,327.118870502276
148,326.455532173068
149,325.354958861063
150,324.120143340715
151,323.099450517147
152,322.584494226474
153,322.775485232322
154,323.644703383877
155,324.972547281215
156,326.410839901744
157,327.577733973868
158,328.191633374311
159,328.128745555299
160,327.466496467485
161,326.372097912516
162,325.147967283799
163,324.129054021312
164,323.596027175764
165,323.770575885213
166,324.633918584392
167,325.954662872418
168,327.375294375159
169,328.539854297444
170,329.140914802164
171,329.11489790474
172,328.456064434575
173,327.341711895745
174,326.107049260307
175,325.08735586354
176,324.581413119335
177,324.775994540973
178,325.659483547082
179,326.988888065795
180,328.422322112287
181,329.602209392622
182,330.238083284875
183,330.21556324852
184,329.580904091717
185,328.510875780832
186,327.314468476384
187,326.338409096486
188,325.862318008222
189,326.071309248147
190,326.955615041459
191,328.274342559923
192,329.698151636212
193,330.888646214873
194,331.542157563826
195,331.53559073535
196,330.897541107974
197,329.799855809546
198,328.576137203698
199,327.560326861345
200,327.047823861539
201,327.232185416914
202,328.095440496983
203,329.419923111713
204,330.862254693686
205,332.048586923981
206,332.684615635448
207,332.659419074888
208,332.006965249944
209,330.910852531787
210,329.677830029708
211,328.653609125062
212,328.146325366894
213,328.333415192459
214,329.199411408839
215,330.524596135142
216,331.963484571161
217,333.158365283628
218,333.810397298506
219,333.791836603923
220,333.123933052946
221,332.004734791771
222,330.766943859108
223,329.734075451274
224,329.216884387842
225,329.398088257566
226,330.270374292477
227,331.607918723201
228,333.056893194778
229,334.238359203889
230,334.898902031446
231,334.882623980608
232,334.227903295668
233,333.117021872801
234,331.876108169429
235,330.84530491564
236,330.347419503566
237,330.557043459698
238,331.454096950418
239,332.812118135204
240,334.291099254752
241,335.498005120027
242,336.169458744017
243,336.15604074201
244,335.489433293203
245,334.384867540067
246,333.143407462921
247,332.122896801108
248,331.619365682722
249,331.828018724768
250,332.731275435649
251,334.096347499314
252,335.580252225547
253,336.797949314032
254,337.480345530623
255,337.464512753794
256,336.789500209299
257,335.675658525194
258,334.423290656361
259,333.400334261669
260,332.904992920023
261,333.127615362121
262,334.039894545642
263,335.421473893282
264,336.916554604917
265,338.140910981186
266,338.828388636236
267,338.820136086053
268,338.156490589829
269,337.047209163902
270,335.795743697063
271,334.778504404209
272,334.298283158293
273,334.53257740448
274,335.457972861621
275,336.843945537644
276,338.342233687323
277,339.588149990946
278,340.280992639569
279,340.275027599265
280,339.609514570384
281,338.489425831132
282,337.232505172969
283,336.199436207789
284,335.709136937401
285,335.941593602659
286,336.875740016239
287,338.275961458955
288,339.788158732007
289,341.032759616392
290,341.719370774279
291,341.707317436986
292,341.035638826383
293,339.901714142568
294,338.640182401372
295,337.609892352044
296,337.121053297428
297,337.356669372895
298,338.292617406782
299,339.696016421014
300,341.205306248335
301,342.454260511506
302,343.128646148322
303,343.1152518138
304,342.439987088521
305,341.307881615006
306,340.046498384276
307,339.022043544886
308,338.53764791237
309,338.779340623941
310,339.721367443682
311,341.136759419225
312,342.665872426714
313,343.925440778881
314,344.616287082955
315,344.605235031968
316,343.930372310405
317,342.792776889714
318,341.526212946512
319,340.497239552839
320,340.006854457534
321,340.249139438958
322,341.196808840485
323,342.620264185495
324,344.146752575127
325,345.407587463784
326,346.113040850786
327,346.099316824209
328,345.41759671645
329,344.272042920684
330,342.995291763727
331,341.965129454204
332,341.484738416527
333,341.73145891474
334,342.683005924505
335,344.106571563608
336,345.636098125282
337,346.894551143323
338,347.580931819675
339,347.568228666833
340,346.884062856935
341,345.739228863959
342,344.46099305496
343,343.422775526742
344,342.950728914599
345,343.195831355644
346,344.146732267471
347,345.56833995555
348,347.107710854979
349,348.367450026963
350,349.059474712616
351,349.047658405923
352,348.365947177917
353,347.220749060423
354,345.947971771218
355,344.915915126876
356,344.43814517921
357,344.691475677987
358,345.649496604633
359,347.076987459105
360,348.621155907026
361,349.903054875093
362,350.611126974534
363,350.607397637451
364,349.927141030801
365,348.784035995581
366,347.520573598386
367,346.495287715236
368,346.027759552686
369,346.295003001494
370,347.262703831168
371,348.700588939056
372,350.259285103144
373,351.540640047144
374,352.246934679217
375,352.247266814817
376,351.565996915693
377,350.422313856253
378,349.153720490848
379,348.127190113461
380,347.655867401881
381,347.920335702337
382,348.888372340902
383,350.328573889795
384,351.880007313621
385,353.166893530881
386,353.876450697189
387,353.860513172073
388,353.17450846475
389,352.019026500624
390,350.739205614291
391,349.710381299358
392,349.240648867344
393,349.509445603474
394,350.484152222339
395,351.927242815575
396,353.472328371892
397,354.745496225599
398,355.452521362655
399,355.445421572846
400,354.758468987218
401,353.601612674199
402,352.31500976598
403,351.274814644888
404,350.799513831741
405,351.063392918086
406,352.036133319839
407,353.479508848566
408,355.03351599647
409,356.31182020556
410,357.008040140745
411,356.982900728333
412,356.276164600403
413,355.110567624759
414,353.811730244036
415,352.766788656152
416,352.285094476956
417,352.549371256203
418,353.517616700655
419,354.956472438321
420,356.509697138398
421,357.777644385924
422,358.466963364374
423,358.425954372611
424,357.707379752621
425,356.523450168
426,355.209839318333
427,354.15796384146
428,353.676851455925
429,353.938782244213
430,354.908644633782
431,356.351310389274
432,357.904662822285
433,359.175417685898
434,359.863279616136
435,359.824361112691
436,359.099242910007
437,357.907160657528
438,356.598482024906
439,355.551077306133
440,355.075583292507
441,355.34823746368
442,356.330860609002
443,357.784046824702
444,359.340344966677
445,360.615263734566
446,361.303633849931
447,361.266575864982
448,360.542288022271
449,359.356243343638
450,358.053328068149
451,357.005952162527
452,356.543323970515
453,356.823016265211
454,357.813238214171
455,359.271007440153
456,360.837094534515
457,362.122965130574
458,362.81904714337
459,362.773208829483
460,362.041971742568
461,360.854024818971
462,359.553920028811
463,358.516530898632
464,358.05420999263
465,358.33853925318
466,359.331776717857
467,360.793731044827
468,362.35611789097
469,363.634546724417
470,364.317272671445
471,364.276555461555
472,363.546084556818
473,362.347678097062
474,361.038996952989
475,359.995956383949
476,359.528182414266
477,359.814124495228
478,360.81306080004
479,362.285687748207
480,363.856329457196
481,365.136733413703
482,365.8279958209
483,365.787545707992
484,365.062027526438
485,363.876461951727
486,362.582702566039
487,361.558149323686
488,361.110369421561
489,361.41476170634
490,362.42561481156
491,363.907373578639
492,365.490213576017
493,366.785725207435
494,367.484243415923
495,367.44962035875
496,366.72067718774
497,365.530362272043
498,364.237730544821
499,363.208309623933
500,362.756088510476
501,363.059413268612
502,364.071935561018
503,365.551432677904
504,367.13191606562
505,368.415641288292
506,369.106477454176
507,369.062158604343
508,368.321363896966
509,367.129525846656
510,365.825129400692
511,364.795868821285
512,364.355884378941
513,364.663783323383
514,365.678368914775
515,367.156441024248
516,368.730474756226
517,370.014744773773
518,370.704148019514
519,370.655714734732
520,369.920664908131
521,368.727344872223
522,367.42512017515
523,366.397818653211
524,365.957505103455
525,366.268039090289
526,367.283991105856
527,368.763892556739
528,370.34186212918
529,371.624936412447
530,372.311369941484
531,372.258667303089
532,371.52257659847
533,370.333754188276
534,369.039653478817
535,368.018716221947
536,367.589082929932
537,367.904779658732
538,368.929426840105
539,370.417414492827
540,371.999929071306
541,373.287609865637
542,373.976829179486
543,373.930918398249
544,373.202984894098
545,372.0216621436
546,370.73493081082
547,369.720527769623
548,369.297041267641
549,369.621421071797
550,370.652631409711
551,372.144866378737
552,373.730850814044
553,375.023249977454
554,375.719047338325
555,375.680839872275
556,374.953124886448
557,373.765457918205
558,372.467187713389
559,371.453302872907
560,371.026966576062
561,371.352898676686
562,372.388205341392
563,373.883958038629
564,375.470930056377
565,376.765829521458
566,377.461241405195
567,377.420231143193
568,376.686977676013
569,375.501050814323
570,374.213249693617
571,373.205093490031
572,372.783245686395
573,373.116247710958
574,374.156328328773
575,375.662151696654
576,377.2624857428
577,378.564705411316
578,379.260037819593
579,379.221718216667
580,378.492611985354
581,377.302591377979
582,376.010427436507
583,374.99958612431
584,374.58259271201
585,374.921922812808
586,375.965766870815
587,377.474440612549
588,379.075003033284
589,380.378407043555
590,381.075385605758
591,381.036381154501
