"","V1"
"1",250.941845055979
"2",251.572648626052
"3",251.311009021778
"4",250.298140422354
"5",248.844245149486
"6",247.429324366527
"7",246.472991016822
"8",246.291699301148
"9",246.997499428223
"10",248.454528550448
"11",250.357935677715
"12",252.217016983476
"13",253.61751085598
"14",254.248314426052
"15",253.986674821779
"16",252.973806222358
"17",251.519910949484
"18",250.104990166524
"19",249.148656816821
"20",248.967365101148
"21",249.673165228222
"22",251.130194350445
"23",253.033601477717
"24",254.892682783477
"25",256.293176655981
"26",256.923980226052
"27",256.662340621779
"28",255.649472022356
"29",254.195576749483
"30",252.780655966528
"31",251.824322616823
"32",251.643030901148
"33",252.348831028222
"34",253.805860150446
"35",255.709267277713
"36",257.568348583474
"37",258.968842455979
"38",259.599646026053
"39",259.338006421778
"40",258.325137822354
"41",256.871242549486
"42",255.456321766526
"43",254.499988416821
"44",254.318696701148
"45",255.024496828224
"46",256.481525950448
"47",258.384933077715
"48",260.244014383476
"49",261.644508255981
"50",262.275311826052
"51",262.013672221779
"52",261.000803622357
"53",259.546908349484
"54",258.131987566524
"55",257.175654216821
"56",256.994362501148
"57",257.700162628221
"58",259.157191750445
"59",261.060598877718
"60",262.919680183478
"61",264.320174055981
"62",264.950977626052
"63",264.689338021779
"64",263.676469422355
"65",262.222574149487
"66",260.807653366527
"67",259.851320016822
"68",259.670028301148
"69",260.375828428223
"70",261.832857550447
"71",263.736264677714
"72",265.595345983475
"73",266.99583985598
"74",267.626643426052
"75",267.365003821777
"76",266.352135222353
"77",264.898239949486
"78",263.483319166525
"79",262.526985816821
"80",262.345694101149
"81",263.051494228221
"82",264.508523350444
"83",266.411930477716
"84",268.271011783476
"85",269.67150565598
"86",270.302309226052
"87",270.040669621779
"88",269.027801022357
"89",267.573905749483
"90",266.158984966524
"91",265.202651616821
"92",265.021359901148
"93",265.727160028222
"94",267.184189150445
"95",269.087596277718
"96",270.946677583473
"97",272.347171455979
"98",272.977975026052
"99",272.716335421778
"100",271.703466822355
"101",270.249571549487
"102",268.834650766527
"103",267.878317416822
"104",267.697025701149
"105",268.402825828224
"106",269.859854950447
"107",271.763262077714
"108",273.622343383475
"109",275.022837255979
"110",275.653640826052
"111",275.392001221777
"112",274.379132622353
"113",272.925237349485
"114",271.510316566525
"115",270.553983216821
"116",270.372691501148
"117",271.078491628221
"118",272.535520750444
"119",274.438927877717
"120",276.298009183477
"121",277.698503055981
"122",278.329306626053
"123",278.067667021779
"124",277.054798422357
"125",275.600903149483
"126",274.185982366523
"127",273.22964901682
"128",273.048357301148
"129",273.754157428223
"130",275.211186550446
"131",277.114593677712
"132",278.973674983474
"133",280.374168855979
"134",281.004972426052
"135",280.743332821778
"136",279.730464222354
"137",278.276568949487
"138",276.861648166526
"139",275.905314816822
"140",275.724023101148
"141",276.429823228223
"142",277.886852350448
"143",279.790259477715
"144",281.649340783475
"145",283.04983465598
"146",283.680638226053
"147",283.41899862178
"148",282.406130022358
"149",280.952234749484
"150",279.537313966524
"151",278.58098061682
"152",278.399688901148
"153",279.105489028222
"154",280.562518150444
"155",282.465925277717
"156",284.325006583478
"157",285.725500455981
"158",286.356304026052
"159",286.094664421778
"160",285.081795822355
"161",283.627900549482
"162",282.212979766528
"163",281.256646416822
"164",281.075354701149
"165",281.781154828223
"166",283.238183950447
"167",285.141591077713
"168",287.000672383474
"169",288.401166255979
"170",289.031969826052
"171",288.770330221778
"172",287.757461622354
"173",286.303566349486
"174",284.888645566526
"175",283.932312216822
"176",283.751020501148
"177",284.456820628224
"178",285.913849750448
"179",287.817256877716
"180",289.676338183476
"181",291.07683205598
"182",291.707635626052
"183",291.445996021779
"184",290.433127422358
"185",288.979232149484
"186",287.564311366524
"187",286.60797801682
"188",286.426686301148
"189",287.132486428222
"190",288.589515550445
"191",290.492922677717
"192",292.352003983477
"193",293.752497855981
"194",294.383301426052
"195",294.121661821778
"196",293.108793222355
"197",291.654897949488
"198",290.239977166527
"199",289.283643816822
"200",289.102352101148
"201",289.808152228223
"202",291.265181350446
"203",293.168588477714
"204",295.027669783475
"205",296.428163655979
"206",297.058967226052
"207",296.797327621778
"208",295.784459022354
"209",294.330563749485
"210",292.915642966525
"211",291.959309616821
"212",291.778017901148
"213",292.483818028221
"214",293.940847150444
"215",295.844254277716
"216",297.703335583477
"217",299.103829455981
"218",299.734633026052
"219",299.472993421779
"220",298.460124822357
"221",297.006229549484
"222",295.591308766524
"223",294.63497541682
"224",294.453683701148
"225",295.159483828222
"226",296.616512950446
"227",298.519920077718
"228",300.379001383473
"229",301.779495255979
"230",302.410298826052
"231",302.148659221778
"232",301.135790622355
"233",299.681895349487
"234",298.266974566526
"235",297.310641216822
"236",297.129349501148
"237",297.835149628223
"238",299.292178750447
"239",301.195585877715
"240",303.054667183475
"241",304.45516105598
"242",305.085964626052
"243",304.824325021777
"244",303.811456422353
"245",302.357561149485
"246",300.942640366525
"247",299.986307016821
"248",299.805015301149
"249",300.510815428222
"250",301.967844550444
"251",303.871251677716
"252",305.730332983477
"253",307.130826855981
"254",307.761630426052
"255",307.499990821779
"256",306.487122222356
"257",305.033226949482
"258",303.618306166523
"259",302.66197281682
"260",302.480681101148
"261",303.186481228222
"262",304.643510350446
"263",306.546917477713
"264",308.405998783474
"265",309.806492655979
"266",310.437296226052
"267",310.175656621777
"268",309.162788022355
"269",307.708892749487
"270",306.293971966526
"271",305.337638616822
"272",305.156346901149
"273",305.862147028224
"274",307.319176150448
"275",309.222583277715
"276",311.081664583475
"277",312.48215845598
"278",313.112962026052
"279",312.85132242178
"280",311.838453822358
"281",310.384558549485
"282",308.969637766525
"283",308.013304416821
"284",307.832012701148
"285",308.537812828221
"286",309.994841950444
"287",311.898249077717
"288",313.757330383477
"289",315.157824255981
"290",315.788627826053
"291",315.526988221779
"292",314.514119622356
"293",313.060224349482
"294",311.645303566527
"295",310.688970216822
"296",310.507678501148
"297",311.213478628223
"298",312.670507750446
"299",314.573914877713
"300",316.432996183474
"301",317.83349005598
"302",318.464293626052
"303",318.202654021777
"304",317.189785422354
"305",315.735890149486
"306",314.320969366526
"307",313.364636016822
"308",313.183344301148
"309",313.889144428223
"310",315.346173550449
"311",317.249580677715
"312",319.108661983476
"313",320.50915585598
"314",321.139959426052
"315",320.87831982178
"316",319.865451222357
"317",318.411555949484
"318",316.996635166524
"319",316.040301816821
"320",315.859010101148
"321",316.564810228222
"322",318.021839350445
"323",319.925246477718
"324",321.784327783478
"325",323.184821655982
"326",323.815625226052
"327",323.553985621778
"328",322.541117022355
"329",321.087221749488
"330",319.672300966527
"331",318.715967616822
"332",318.534675901149
"333",319.240476028223
"334",320.697505150447
"335",322.600912277714
"336",324.459993583474
"337",325.860487455979
"338",326.491291026052
"339",326.229651421777
"340",325.216782822353
"341",323.762887549485
"342",322.347966766526
"343",321.391633416822
"344",321.210341701148
"345",321.916141828221
"346",323.373170950443
"347",325.276578077716
"348",327.135659383477
"349",328.536153255981
"350",329.166956826052
"351",328.905317221779
"352",327.892448622357
"353",326.438553349483
"354",325.023632566523
"355",324.06729921682
"356",323.886007501148
"357",324.591807628222
"358",326.048836750446
"359",327.952243877718
"360",329.811325183478
"361",331.211819055979
"362",331.842622626052
"363",331.580983021778
"364",330.568114422355
"365",329.114219149487
"366",327.699298366527
"367",326.742965016822
"368",326.561673301148
"369",327.267473428223
"370",328.724502550447
"371",330.627909677714
"372",332.486990983475
"373",333.88748485598
"374",334.518288426052
"375",334.256648821777
"376",333.243780222353
"377",331.789884949485
"378",330.374964166525
"379",329.418630816821
"380",329.237339101148
"381",329.943139228221
"382",331.400168350444
"383",333.303575477716
"384",335.162656783477
"385",336.563150655981
"386",337.193954226052
"387",336.932314621779
"388",335.919446022356
"389",334.465550749483
"390",333.050629966523
"391",332.09429661682
"392",331.913004901148
"393",332.618805028223
"394",334.075834150446
"395",335.979241277713
"396",337.838322583473
"397",339.238816455979
"398",339.869620026052
"399",339.607980421778
"400",338.595111822355
"401",337.141216549486
"402",335.726295766526
"403",334.769962416822
"404",334.588670701148
"405",335.294470828223
"406",336.751499950448
"407",338.654907077715
"408",340.513988383476
"409",341.91448225598
"410",342.545285826052
"411",342.28364622178
"412",341.270777622357
"413",339.816882349485
"414",338.401961566524
