"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",321.66841929898
"11",336.593186479807
"12",286.294799380785
"13",220.205369257466
"14",177.623988221743
"15",190.74791291453
"16",243.367113130464
"17",303.92394896761
"18",360.167174825863
"19",406.454262968187
"20",435.567275604834
"21",443.674732725829
"22",437.107690676342
"23",430.159405292519
"24",433.119694388294
"25",444.943642485406
"26",458.359340906866
"27",468.259918108201
"28",474.873166251419
"29",481.218650051604
"30",488.676364920738
"31",495.788115130709
"32",500.561059414213
"33",503.184702217041
"34",505.604989820252
"35",509.104483491573
"36",512.865020272721
"37",515.002917153786
"38",514.747622816542
"39",513.22949259067
"40",511.947440221218
"41",511.943302282986
"42",512.836130047504
"43",513.698408256273
"44",514.55912139887
"45",515.405530836789
"46",516.19101280079
"47",516.425543596291
"48",515.483123805604
"49",513.470345388871
"50",511.00268832127
"51",508.838788349689
"52",507.334037805421
"53",506.372122080475
"54",505.343455769427
"55",504.214381062149
"56",502.85627450982
"57",501.608064579544
"58",500.117729737596
"59",498.212653297283
"60",495.771777406169
"61",493.245028012724
"62",491.206828486209
"63",489.683588980529
"64",488.244455383867
"65",486.543575075058
"66",484.415761049775
"67",481.895248608076
"68",479.270660111597
"69",476.804350959133
"70",474.415558605008
"71",472.135012550333
"72",469.851668366729
"73",467.764979926549
"74",466.06810378499
"75",464.581044814939
"76",463.003786865309
"77",460.974560504991
"78",458.411127110259
"79",455.257884554584
"80",452.174138218841
"81",449.396213636447
"82",446.869744029985
"83",444.550270280926
"84",442.547640864577
"85",440.693653563706
"86",439.219148442276
"87",437.690265730298
"88",435.994926545973
"89",434.074065977877
"90",431.298917997809
"91",428.280393235553
"92",425.209572461884
"93",422.740167464676
"94",420.484418134363
"95",418.628996503487
"96",417.055601720798
"97",415.672673712879
"98",414.653072141194
"99",413.516273537511
"100",412.145958388954
"101",410.23316319677
"102",407.668470048642
"103",404.668284192906
"104",401.690241206867
"105",399.411724243657
"106",397.599115764957
"107",396.089556321992
"108",394.668991061112
"109",393.354687948766
"110",392.372276826668
"111",391.425141356655
"112",390.066359892219
"113",388.188411083471
"114",385.874425626604
"115",383.236005121131
"116",380.806636044939
"117",378.94055730692
"118",377.487982143089
"119",376.206844397388
"120",375.05983222522
"121",374.065135025569
"122",373.296088740298
"123",372.560641793183
"124",371.656742271868
"125",370.362794782431
"126",368.548818649907
"127",366.470602279393
"128",364.552980981113
"129",363.047851634358
"130",361.972891824525
"131",361.161946178504
"132",360.408443902407
"133",359.869925172004
"134",359.464955605351
"135",359.099309723086
"136",358.511129004819
"137",357.69106599077
"138",356.452054533192
"139",355.092313197317
"140",353.790280133386
"141",352.812738931203
"142",352.110289850476
"143",351.572091843816
"144",351.169960462987
"145",350.866918010203
"146",350.694324638592
"147",350.461666952557
"148",350.144261666011
"149",349.670593233079
"150",349.072611150062
"151",348.437817786422
"152",347.946587793103
"153",347.614343823605
"154",347.408894660975
"155",347.286594358497
"156",347.207586650647
"157",347.166061260988
"158",347.160534677832
"159",347.19640529302
"160",347.248813426075
"161",347.3270803973
"162",347.473064839966
"163",347.753272707542
"164",348.112561370406
"165",348.454765603307
"166",348.749170722315
"167",349.023645166017
"168",349.270292477894
"169",349.565034769262
"170",349.719799210313
"171",349.931313593023
"172",350.343721735262
"173",350.95341689055
"174",351.855751740212
"175",353.010090110882
"176",354.153628481802
"177",355.025301536348
"178",355.717007120767
"179",356.26365594103
"180",356.68474541448
"181",357.069528144346
"182",357.331164401001
"183",357.553618580367
"184",358.07497374192
"185",359.045462228776
"186",360.511721472918
"187",362.507744133518
"188",364.570752169149
"189",366.277317991037
"190",367.820120740462
"191",369.140088769127
"192",370.043108132046
"193",370.811136176825
"194",371.332254674787
"195",371.893623664269
"196",373.086753942722
"197",374.846657201785
"198",377.453586689529
"199",380.756822870032
"200",383.891621349397
"201",386.366610911027
"202",388.13498869473
"203",389.368295039872
"204",390.371531860512
"205",391.341361706557
"206",391.872921624739
"207",392.320815675211
"208",393.372160626812
"209",395.453247959156
"210",398.716955566804
"211",402.672076636674
"212",406.460093785488
"213",409.369143910004
"214",411.406896786335
"215",412.856677759582
"216",413.72954926345
"217",414.395089567474
"218",414.686963230842
"219",415.337879049513
"220",416.886651932586
"221",419.298367059814
"222",423.413264533578
"223",428.515881774158
"224",433.344003388349
"225",436.736157199363
"226",438.862080433685
"227",440.270839163463
"228",441.538574866644
"229",441.672417184333
"230",441.411248730268
"231",441.159440563844
"232",442.154926030144
"233",444.598326443874
"234",449.064447064634
"235",454.358699605287
"236",459.28696594496
"237",462.902630292349
"238",465.377197993115
"239",466.779705027385
"240",468.239162282169
"241",468.786810344764
"242",468.958794104406
"243",469.469889787159
"244",470.603146048017
"245",473.683103797862
"246",478.731622545452
"247",485.441323271369
"248",491.533212738012
"249",495.823506363944
"250",498.796576263143
"251",500.603063828857
"252",502.15541796943
"253",502.495837858003
"254",502.786848317636
"255",503.491127427249
"256",504.768746852736
"257",508.33064515408
"258",513.833898947391
"259",520.900136161937
"260",527.122992331611
"261",531.638316158857
"262",534.325994015632
"263",535.977386496149
"264",537.518098048774
"265",537.635005409935
"266",537.469582645736
"267",537.527602208602
"268",538.582277900756
"269",542.463703219618
"270",548.387607907334
"271",555.747743779423
"272",562.541527219061
"273",567.468958032375
"274",570.935232720418
"275",573.306582302765
"276",574.454705393725
"277",574.881482499483
"278",574.931257214707
"279",575.226218067112
"280",576.959580855473
"281",581.432189816962
"282",588.845730028462
"283",597.567878820751
"284",605.258147003945
"285",610.304746082663
"286",613.436073926672
"287",615.302295635619
"288",616.566686044732
"289",616.967892935379
"290",616.606757428381
"291",616.334853322059
"292",618.153338227546
"293",622.515098777633
"294",629.949966625425
"295",639.287869590402
"296",647.641546098688
"297",653.35147291502
"298",656.900099940651
"299",659.419424023358
"300",660.505850983236
"301",661.570975015812
"302",660.558650592618
"303",659.53688009726
"304",660.227999809146
"305",663.80788084929
"306",670.412185982359
"307",679.443678942922
"308",687.564078885711
"309",693.167702697984
"310",696.340431843121
"311",698.158941099274
"312",699.440119953101
"313",700.257822161057
"314",699.858766994207
"315",699.324250304713
"316",700.891078582157
"317",705.382847500811
"318",713.037244706535
"319",723.477312025361
"320",732.382883378725
"321",738.184569120649
"322",741.184422472808
"323",743.634151917978
"324",744.965884799951
"325",744.436508353107
"326",744.00949719067
"327",743.527156933022
"328",745.273873119477
"329",750.419402803781
"330",758.330118693352
"331",768.533375346959
"332",777.908346405023
"333",784.09511593676
"334",787.626280323048
"335",790.188053595211
"336",791.917498271708
"337",792.985563026739
"338",791.842798477733
"339",790.903984342614
"340",791.960588306451
"341",796.873216030255
"342",805.410122748036
"343",814.754840105034
"344",824.434326987283
"345",830.659002869974
"346",834.306745829994
"347",835.828669448413
"348",837.576695187813
"349",838.157607825082
"350",836.829948464145
"351",835.435083254677
"352",836.402384202472
"353",840.819681387404
"354",849.09233615987
"355",859.594732038077
"356",868.909689177234
"357",874.866218433773
"358",878.396652396428
"359",879.924866234668
"360",879.837152160876
"361",879.392898288466
"362",877.752412476064
"363",876.630295222361
"364",877.839411160036
"365",881.95134691586
"366",890.728502243591
"367",901.714355437434
"368",911.251980070882
"369",917.944768031703
"370",922.050187979954
"371",923.526775259782
"372",925.078371340852
"373",926.09626298397
"374",924.842970106011
"375",924.617536198454
"376",926.629564750642
"377",932.174755155019
"378",942.09093924881
"379",954.653580881647
"380",965.441311870695
"381",972.685764467073
"382",976.802799448173
"383",979.209864337736
"384",979.692399272574
"385",979.761505636747
"386",979.747767696442
"387",978.906538570952
"388",981.406072110389
"389",987.650497384351
"390",997.547090566949
"391",1010.05739908598
"392",1020.5081278116
"393",1026.9070236415
"394",1030.40452496006
"395",1033.10928684624
"396",1034.41586076148
"397",1033.38257580071
"398",1030.68198193927
"399",1028.71138750605
"400",1030.44269760109
"401",1037.12767864282
"402",1048.60153510736
"403",1062.29927345141
"404",1074.10477975216
"405",1081.42620540159
"406",1085.41795713951
"407",1087.11693195798
"408",1087.57838519346
"409",1087.32646830793
"410",1085.53317523755
"411",1084.14101470176
"412",1084.77092723976
"413",1091.4984880718
"414",1102.55818176355
"415",1116.82703215615
"416",1128.46675033322
"417",1136.50062338478
"418",1141.03868151734
"419",1142.36754101198
"420",1143.61840288321
"421",1142.96705168192
"422",1141.64558500925
"423",1139.5901855646
"424",1140.55471171572
"425",1147.36640087015
"426",1157.72707122604
"427",1170.68683626758
"428",1181.8043341465
"429",1188.64492585736
"430",1191.53959767792
"431",1191.66720837953
"432",1191.10213685323
"433",1189.15175597174
"434",1185.78043466801
"435",1183.24240480137
"436",1184.34643341545
"437",1189.7681440202
"438",1199.77308403525
"439",1212.95201298811
"440",1223.74512741524
"441",1229.97868392436
"442",1232.52616904122
"443",1233.33018985381
"444",1232.77911723904
"445",1231.13221422077
"446",1227.50643863965
"447",1224.94479686838
"448",1225.428439441
"449",1230.89257229588
"450",1242.64811378247
"451",1255.62563822655
"452",1267.63801037225
"453",1274.84582357211
"454",1278.71457109247
"455",1279.52545651365
"456",1278.46159265377
"457",1276.54596518577
"458",1275.31461175461
"459",1274.31634608143
"460",1275.45198063305
"461",1281.17535847158
"462",1292.52559865327
"463",1307.50070128191
"464",1320.62591812598
"465",1329.01883141478
"466",1333.46490570432
"467",1335.98636805236
"468",1336.76455103477
"469",1337.33873993747
"470",1334.4009744908
"471",1332.62624251307
"472",1335.22574746477
"473",1341.93579183924
"474",1353.88453262494
"475",1369.69383467864
"476",1382.14396939641
"477",1388.89659753804
"478",1390.48879625012
"479",1390.53515826077
"480",1389.85879295358
"481",1387.25809534942
"482",1382.79682950883
"483",1378.66178177603
"484",1377.97045146209
"485",1382.02041687558
"486",1391.69532727988
